Title,Timestamp,Original video Transcript,Summary & Key Points,Suggestions,Visuals,,,,,,,,,,,,,,,,,,,
No Ttitle,0 - 0:39,"What is generative AI? This is week four
of the course. Here are the learning
outcomes. Explain what generative AI is.
List some natural language processing
tasks.
Understand what large language models
and foundational models are. Apply
prompt engineering.
Explain different kinds of
customizations such as fine-tuning and
retrieval augmented generation or RAG.
Discuss human feedback.
Outline the generative AI life cycle.
Explain AI agents and agentic AI. Design
prototypes for NLP tasks. ",the summary of this week's course,,,,,,,,,,,,,,,,,,,,,
Generative AI,0:40-3:18,"We start by
talking about what generative AI is.
Everybody has experience with generative
AI at some point, usually with chat bots
or generating images from text or using
a co-pilot to help develop code.
Generative AI is a subpart of machine
learning that creates content. These AIs
are capable of creating content which is
traditionally a human ability. That's
why the capabilities of these models are
impressive. They can mimic human
creativity. Generative AI is a subset of
traditional machine learning. These are
machines learning to accomplish tasks
which can include generating video,
images, or text. These models are
trained on massive data sets of content
originally generated by humans. For
generative AI that tackles text or
natural language, the models are trained
on billions or trillions of words over a
large period of time, usually 5 to 6
months. Using large compute power, they
can train on this vast corpus of text,
including web pages, PDF files, books,
press publications, and more. Generative
AI can be related to language,
generating text or audio, image, and
video. In this week, we are
focusing on generative AI that generates
text. The underlying capability is text
generation, and it is used to accomplish
several other tasks. Tasks include
answering questions, summarizing texts
and translations,
everything that involves generating
words. These models are called large
language models, LLMs. They are trained
over large corpora of text. The most
common large language models are known
as foundation models. Chat GPT, for
example, is an interface that lets users
access a model which is part of the GPT
family. Other foundation models include
Gemini from Google, Claude from
Anthropic, Llama from Meta, and Grock
from XAI. These are called foundation
models because they unlock the ability
to generate text and perform complex
tasks. They are large because they are
trained on a vast amount of data and
contain billions or trillions of
parameters. A parameter is a knob that
gets adjusted during training so the
model can accomplish a task. There is a
difference between classical machine
learning models like those used for
classification, regression or
unsupervised learning and large language
models.
", what generative AI is,"1:28 It says: ""in this first week we are focusing on ..."", while it is fourth week. Corrected

2:40 the definition of LLMs is confusing. It isn't clear what is the difference between LLMs and GenAIs.  SO, in the text is very well defined but I think it could have gotten complicated because the definitions are inside the same slide. So Edtech people could you please split the generative AI slide into 2? One with the items up until large language models and then the other slides with the rest of the LLM related items?",,,,,,,,,,,,,,,,,,,,
  No title,3:19-4:54,"The way you interact with them
is different. In traditional machine
learning, you program using logic and
code to train a model. Large language
models on the other hand accept natural
language directly from humans.
You don't have to programmatically
specify the task. You can just instruct
the model using natural language. The
text passed to a language model is
called a prompt. And the space available
to write the prompt is called the
context. The context window can span
thousands of words, often one or two
pages depending on the model. Unlike
traditional models that you can easily
train with tools like Python or noode
platforms like Nime or Weta, large
language models take months to train.
These foundation models are not
retrained from scratch every day.
Instead, they are improved using
techniques like fine-tuning or retrieval
augmented generation which will be
covered later in the course. It is
possible to train a large language model
from scratch for a specific task, but it
requires substantial computational
resources and large data sets. That's
why these pre-trained models are called
foundation models and people use
engineering techniques to adapt them.
Some companies do train their own LLMs.
Examples of LLM's GPT, Open AI, BERT,
Google, LA, Meta, Flan, open source,
Palm and Bloom, open source",the difference between LLM and traditional machine learning; the way LLM is trained; some examples of LLM,,,,,,,,,,,,,,,,,,,,,
LLM capabilities,4:55 - 6:04,"NLP is the field that handles human
language using computational methods.
Traditional NLP tasks include
translation, summarization, and
generation.",capabilities of LLM,,,,,,,,,,,,,,,,,,,,,
computatio0nally expensive,6:05 - 6:41,".
Natural language processing
before LLM's natural language processing
NLP is the field that handles human
language using computational methods.
Traditional NLP tasks include
translation, summarization, and
generation."," the number of paprameters needed for building GPT 3, GPT 3.5, and GPT4.",6:07 the points mentioned about the number of parameters in GPTs are detached from other points. There needs to be something to connect it. Maybe it's better to bring this section when it is saying that it takes months to train these models. SOLVED in the script,,,,,,,,,,,,,,,,,,,,
No Ttitle,6:42-7:37,"Before large language models, these
tasks were handled by recurrent neural
networks, RNNs. An RNN would only retain
the last few words like my tea tasted
and might complete the sentence with
great, ignoring that the earlier part
said the milk was bad. Because of
limited context, RNN's couldn't
effectively handle word completion
tasks.
Another difficult task was
summarization. Example, I traveled to
fish at a river,
but before going, I got some money from
the bank. It's unclear whether bank
refers to a financial institution or a
river bank. RNN's had difficulty with
this type of ambiguity due to their
limited context.",the limitation of RNN,,,,,,,,,,,,,,,,,,,,,
How LLMs work,7:38 - 9:37,"Then came the
transformer architecture. A 2019 paper
titled Attention Is All You Need from
Google Deep Mind and the University of
Toronto introduced the transformer, a
deep learning architecture for NLP.
Transformers are based on deep neural
networks, but architected to allow
parallel processing of input tokens.
RNNs process one word at a time, but
transformers can process all words in a
sentence simultaneously. Example with
RNN's the word 'the' is processed
through the entire network then milk
then is and so on one at a time.
With transformers all words like
elephants are the are processed
together.
This allows the model to predict the
next word based on the entire sentence
at once.
Because of this parallelization,
transformers allow for much longer
context windows and better performance.
This architecture also takes advantage
of GPUs, graphical processing units,
which can process millions of elements
simultaneously.
LLMs are massive probabilistic systems
predicting the next token in a sequence.
Example, elephants are the possible
completions include largest, smartest,
gentlest, most majestic, most
impressive.
The choice depends on the model's
training data. If largest is the word
with the highest probability, the model
might select it. But to introduce
creativity and variability, a bit of
randomness is added. That's why the same
prompt often gives different responses.
Each time you ask a question or request
a summary from chat GPT, for example,
you may get a different answer.
This built-in randomness makes
generative AI more dynamic and creative.",How the transformer architecture and GPU help LLM overcome the limitations that RNN has,It was great the transition from the RNN architecture to transformers (8:00),,,,,,,,,,,,,,,,,,,,
generative configuration - inference parameters,9:38 - 13:25,"We will talk about some parameters found
in large language models. When using a
tool like chat GPT, you can adjust
several parameters that control how the
model performs inference, the process of
generating outputs after training. These
are known as inference parameters. There
are four main inference parameters.
One, max new tokens. This sets the
maximum number of new tokens the model
can generate in a response. Tokens
represent segments of text, often whole
words or word pieces, depending on the
tokenizer. If you set this value to a
smaller number, the model will generate
shorter responses. This is a cap, not a
fixed length. The model can generate up
to this number of tokens.
Two, topase sampling. The model produces
a probability distribution over all
known words or tokens in its vocabulary
for the next token prediction. For
example, it might calculate the highest
probabilities as cake, donut, banana,
apple. If the model simply chooses the
highest probability every time, it would
always return the same answer, leading
to repetitive behavior.
Top case sampling introduces randomness.
It limits the model to only consider the
top k most probable tokens and then
selects randomly among them. Example, if
cake, donut, and banana are the top
three options, top k sampling with kgle
three, we'll randomly pick one of those
three. This makes the output more
varied. The larger the value of K, the
broader the set of words from which the
model can choose and the more diverse
the outputs will be. A small K makes the
output more deterministic. A large K
increases randomness and variety.
Top P sampling takes a different
approach. Rather than selecting a fixed
number of top candidates, it selects
tokens from the top ranked options until
their cumulative probability reaches a
threshold point. If cake equals 0.18,
donut equals 0.11, banana equals 0.06,
apple equals 0.05, then a cumulative.3
might include just cake and donut. The
model will randomly select between
those.
Top P makes the selection dynamic. It
always uses the smallest set of top
tokens whose cumulative probability
reaches P. This means it can adapt to
the probability distribution of the
model's output for that context. Top P
leads to randomness like top K, but is
more probability aware and tends to stay
within more plausible answers.
In contrast, top K may include low
probability options if K is set high,
making the model more creative but
potentially less coherent.
Temperature controls how peaked or flat
the probability distribution is before
sampling. It is a scaling factor applied
to the probability values. A low
temperature, eg 0.7, sharpens the
distribution, making high probability
tokens even more dominant. This makes
the model more deterministic. A high
temperature, eg 1.5,
flattens the distribution, making lower
probability tokens more likely to be
selected. This makes the model more
creative.
In a visual analogy, a low temperature
yields a histogram where cake has a very
high bar and the others have short bars.
A high temperature yields a more even
histogram. Cake, donut, banana, and
apple are more equally likely. If you
apply top P or top K sampling after
temperature adjustment, the diversity of
your outputs increases with higher
temperature.","we can adjust parameters to control how the LLM performs. Such parameters in ChatGPT include max new tokens, sample top k, sample top p, temperature.",,,,,,,,,,,,,,,,,,,,,
self attention,13:26 - 14:49,"The transformer
architecture and the innovation behind
LLMs.
This is not meant to be an exhaustive
explanation of how large language models
work. That would take an entire course.
The goal is to understand how the models
work conceptually so we can better
understand how to fine-tune them and
compare foundational models.
Understanding context through self-
attention.
The most important concept behind large
language models is how they learn from
and make sense of context. The model
excels at understanding context and the
mechanism that enables this is called
self attention.
This is why the foundational paper from
Google in 2017 is titled attention is
all you need. In self- attention, the
model computes the relevance of each
word to every other word in a sentence.
This can be visualized as an attention
map. Example sentence, the teacher
taught the student with a book.
In this case, the word teacher is
strongly connected to taught and book,
slightly less to student, and minimally
to the article a. The attention
mechanism allows the model to learn
these relationships and use them to
understand context. For example,
determining who has the book even when
it's ambiguous.",how LLMs understand context through self-attention,"13:40 this section that is explained here, is better to come earlier, in the beginning of talking about LLMs. ""This is not meant to be an exhaustive explanation of how large language models work. That would take an entire course. The goal is to understand how the models work conceptually so we can better understand how to fine-tune them and compare foundational models."" I dont hink so, it causes students to drift because it is more mathematical. So it is best to keep exaples first and then have this quick theory after",,,,,,,,,,,,,,,,,,,,
transformers,14:50 - 16:28,"The trans the
transformer architecture consists of two
main components encoder decoder.
Together, these process the input and
generate a probability distribution over
all the words in the model's vocabulary.
The model is a statistical calculator
that needs to transform words into
numbers. This begins with tokenization.
Tokenization converts each word into an
integer ID, the 342, teacher 879, etc.
These token IDs are then passed into an
embedding layer which maps each token
into a vector in a multi-dimensional
space.
Similar words semantically and
grammatically end up close together. For
example, in a 3D embedding space, cat
and dog are close. Helicopter is far
away. Unfaithful might also be close to
dog because of language usage. Eg. He's
a dog.
This reflects self-supervised learning.
The model constructs an internal latent
space through training. The dimensions
are not humanlabeled, but the model
learns to position words based on usage
patterns.
This embedding process was discussed
earlier during the topic of recommener
systems. Positional
encoding
transformers unlike RNN's process all
words in parallel rather than
sequentially. This makes it necessary to
indicate position explicitly. This is
done through positional encoding which
assigns a vector to each token to
indicate its order. For example, cats
are friends. Cats position one. R
position two, friends position three.",how the transformer architecture work,"Abrupt interruption (14:50)
Show only one image while explaining (14:55)
Resize the slide to fit better (15:00) - The interruption is just a glitch in the video. ",,,,,,,,,,,,,,,,,,,,
